activity_id,lead_id,campaign_id,activity_type,activity_date,utm_source
61,7551,100,Page Visit,2024-10-28T05:29:00,linkedin
62,254,193,Form Fill,2022-09-03T15:59:00,twitter
63,1788,128,Form Fill,2024-07-13T15:51:00,twitter
64,909,67,Email Open,2024-03-31T05:04:00,
65,1830,42,Email Open,2023-12-24T02:21:00,
66,1594,39,Form Fill,2022-11-10T06:40:00,linkedin
67,3055,127,Email Open,2022-07-29T07:38:00,
68,6518,122,Email Open,2021-12-14T16:48:00,
69,6994,91,Email Open,2023-01-16T00:03:00,
70,2644,93,Webinar Registration,2024-11-10T06:37:00,
71,2883,193,Email Open,2022-09-03T11:45:00,
72,4364,123,Email Bounce,2022-10-28T01:52:00,
73,1775,107,Form Fill,2021-09-21T14:21:00,direct
74,3057,129,Ad Click,2023-09-22T07:26:00,facebook
75,2435,52,Email Bounce,2024-03-01T18:20:00,
76,5285,93,Email Open,2024-11-06T03:18:00,
77,7861,165,Page Visit,2022-06-23T18:51:00,
78,4891,78,Email Open,2023-04-15T13:05:00,
79,1556,176,Page Visit,2023-02-04T08:34:00,
80,1872,142,Content Download,2024-01-27T07:54:00,
81,4775,7,Email Click,2021-04-03T16:19:00,
82,6101,,Form Fill,2024-07-23T08:33:00,linkedin
83,3311,68,Email Open,2024-10-15T14:15:00,
84,1998,,Email Open,2023-08-28T10:25:00,
85,5398,155,Form Fill,2024-09-30T16:15:00,referral
86,548,180,Content Download,2021-01-07T10:48:00,
87,5964,20,Email Open,2023-11-24T14:29:00,
88,7783,142,Webinar Attended,2024-02-12T20:29:00,
89,2295,69,Email Open,2023-04-29T00:12:00,
90,4272,79,Email Click,2022-02-19T02:50:00,
91,6579,82,Content Download,2020-08-19T12:10:00,
92,2195,146,Ad Click,2022-08-15T11:01:00,twitter
93,6261,36,Email Bounce,2020-03-18T22:19:00,
94,5486,2,Form Fill,2022-02-11T19:27:00,direct
95,7291,99,Ad Click,2020-03-08T14:26:00,
96,206,198,Form Fill,2024-09-09T13:45:00,referral
97,985,173,Form Fill,2024-10-28T21:26:00,facebook
98,2884,166,Webinar Attended,2024-12-28T00:00:00,
99,6293,16,,2021-11-20T03:59:00,
100,7100,110,Content Download,2022-02-27T13:54:00,
101,7947,139,Content Download,2022-06-30T13:55:00,
102,7530,130,Webinar Attended,2022-08-28T01:14:00,
103,7601,150,Email Open,2023-07-04T22:04:00,
104,6624,15,Ad Click,2022-06-16T13:31:00,google
105,1253,123,Content Download,2022-10-27T18:02:00,
106,852,113,Email Open,2024-10-25T10:25:00,
107,3307,102,Webinar Registration,2024-05-10T19:47:00,
108,7013,163,Webinar Registration,2022-01-26T14:35:00,
109,1191,20,Email Open,2023-11-22T06:58:00,
110,2301,176,Email Open,2023-02-02T02:49:00,
111,5470,99,Webinar Registration,2020-02-08T16:05:00,
112,5750,84,Webinar Registration,2024-05-22T22:25:00,
113,3280,151,Email Open,2021-08-10T19:39:00,
114,5370,23,Webinar Registration,2021-05-12T04:56:00,
115,3590,116,Email Open,2030-03-15T14:30:00,
116,4869,154,Email Open,2023-12-02T13:07:00,
117,7917,47,Email Click,2022-05-12T05:31:00,
118,359,62,Email Open,2020-05-21T16:45:00,
119,7781,89,Page Visit,2020-04-19T16:56:00,twitter
120,1652,35,Email Open,2024-06-26T23:23:00,
121,316,165,Unsubscribe,2022-06-04T11:36:00,
122,1885,3,Ad Click,2024-06-28T04:48:00,twitter
123,65,,Form Fill,2023-02-17T23:16:00,
124,2690,59,Email Open,2020-04-07T11:55:00,
125,170,153,Email Open,2023-07-17T03:13:00,
126,1495,193,Content Download,2022-08-31T17:07:00,
127,5474,101,Email Click,2023-07-23T21:05:00,
128,7515,173,Email Open,2024-10-21T20:24:00,
129,5855,175,Content Download,2021-11-25T21:46:00,
130,4282,84,Email Open,2024-06-01T05:06:00,
131,5687,74,Webinar Registration,2021-06-27T02:50:00,
132,5460,118,Email Open,2024-12-30T04:16:00,
133,413,85,Ad Click,2023-06-16T21:03:00,
134,3689,152,Email Open,2023-01-31T20:32:00,
135,3177,89,Email Open,2020-04-19T08:48:00,
136,3862,125,Content Download,2024-04-17T19:09:00,
137,606,120,Email Open,2023-02-02T17:10:00,
138,3200,121,Email Click,2021-07-04T19:05:00,
139,3828,1,Page Visit,2022-12-18T18:00:00,referral
140,3705,178,Form Fill,2023-08-03T17:16:00,facebook
141,2490,22,Email Click,2023-10-13T13:01:00,
142,5780,177,Email Open,2023-12-29T17:58:00,
143,301,154,Email Open,2030-03-15T14:30:00,
144,450,161,Ad Click,2020-05-30T23:20:00,twitter
145,5125,105,Form Fill,2020-09-01T18:53:00,direct
146,7382,144,Email Click,2022-03-14T20:05:00,
147,3472,46,Page Visit,2023-06-12T05:30:00,facebook
148,6448,83,Webinar Registration,2023-04-12T20:56:00,
149,7520,15,Email Open,2022-03-15T06:18:00,
150,7267,80,Email Open,2021-05-10T02:41:00,
151,3981,83,Webinar Registration,2023-05-23T02:22:00,
152,6876,191,Email Open,2024-08-12T11:56:00,
153,1816,8,,2020-08-04T11:32:00,
154,5222,9,Email Open,2022-10-06T14:23:00,
155,6480,2,Page Visit,2022-02-18T14:02:00,direct
156,2795,101,Email Open,2023-07-25T23:56:00,
157,5165,13,Webinar Registration,2024-05-28T10:39:00,
158,7631,155,Email Click,2024-10-08T02:21:00,
159,7530,102,Page Visit,2024-05-15T22:41:00,twitter
160,3625,70,Ad Click,2020-09-25T02:08:00,twitter
161,4269,109,Webinar Registration,2020-05-26T12:01:00,
162,7256,184,Form Fill,2021-08-19T05:37:00,linkedin
163,4428,96,Webinar Attended,2024-09-05T23:30:00,
164,5462,176,Content Download,2023-02-02T06:38:00,
165,2687,73,Email Open,2020-05-27T23:48:00,
166,4019,105,,2020-09-21T19:06:00,
167,7039,181,Email Bounce,2021-04-18T19:39:00,
168,1142,29,Page Visit,2022-03-20T06:44:00,direct
169,5450,189,Email Open,2024-04-23T17:12:00,
170,7973,111,Email Click,2022-10-27T11:02:00,
171,1658,167,Email Open,2020-12-05T20:16:00,
172,7376,46,Webinar Attended,2023-06-15T05:45:00,
173,5537,117,Email Open,2024-06-14T02:56:00,
174,1064,92,Ad Click,2024-02-29T08:26:00,google
175,3597,167,Form Fill,2020-12-11T03:17:00,facebook
176,5619,86,Email Open,2023-08-08T06:29:00,
177,2714,159,Form Fill,2020-08-07T18:16:00,direct
178,7380,139,Webinar Registration,2022-07-29T23:37:00,
179,3679,133,Ad Click,2020-02-13T00:50:00,facebook
180,3817,130,Webinar Registration,2022-07-06T16:02:00,
181,4317,53,Ad Click,2021-04-20T12:29:00,facebook
182,1550,193,Content Download,2022-09-01T19:25:00,
183,6275,99,Webinar Registration,2020-03-10T19:47:00,
184,5783,121,Email Open,2021-06-25T00:30:00,
185,6013,3,Email Open,2024-07-02T11:26:00,
186,790,4,Email Open,2024-07-21T06:33:00,
187,3978,40,Ad Click,2022-04-18T05:47:00,referral
188,6853,146,Email Open,2022-09-09T19:51:00,
189,5704,182,Webinar Attended,2024-05-05T08:18:00,
190,4104,8,Ad Click,2020-07-12T05:41:00,facebook
191,2192,46,Unsubscribe,2023-05-15T18:53:00,
192,6900,25,Page Visit,2022-07-25T20:11:00,facebook
193,6223,173,Content Download,2024-10-23T14:04:00,
194,7788,176,Email Click,2023-02-25T20:52:00,
195,2229,30,Email Bounce,2023-10-05T05:26:00,
196,1888,152,Webinar Registration,2023-02-04T14:50:00,
197,4831,199,Form Fill,2024-10-15T19:14:00,linkedin
198,2135,80,Unsubscribe,2021-05-04T02:37:00,
199,2263,20,Form Fill,2023-11-19T00:47:00,facebook
200,2599,80,Content Download,2021-05-09T14:49:00,
201,3749,143,Unsubscribe,2023-10-31T06:34:00,
202,5333,118,Page Visit,2024-11-28T10:54:00,referral
203,5065,166,Form Fill,2024-12-19T22:10:00,linkedin
204,4206,167,Email Click,2020-12-04T16:40:00,
205,3675,198,Email Open,2024-09-25T01:53:00,
206,7205,92,Email Open,2024-04-28T22:55:00,
207,784,2,Webinar Registration,2022-02-07T21:33:00,
208,591,107,Content Download,2021-08-14T03:28:00,
209,6358,33,Email Open,2020-10-01T07:04:00,
210,2697,,Email Open,2021-01-18T23:48:00,
211,5589,2,Email Open,2022-02-16T20:53:00,
212,7614,200,Page Visit,2022-09-29T03:39:00,
213,6418,2,Ad Click,2021-12-21T11:14:00,
214,1359,145,Content Download,2023-10-20T17:04:00,
215,2732,46,Ad Click,2023-06-21T15:16:00,
216,729,182,Form Fill,2024-03-18T09:21:00,linkedin
217,7509,102,Webinar Registration,2024-05-20T12:02:00,
218,4919,26,,2020-07-11T16:11:00,
219,4222,74,,2021-07-04T06:43:00,
220,2891,17,Form Fill,2020-12-16T16:23:00,linkedin
221,917,126,Content Download,2021-12-09T21:28:00,
222,6834,77,Email Open,2020-03-28T09:34:00,
223,3906,,Unsubscribe,2024-07-26T22:38:00,
224,7995,117,Email Open,2024-05-31T20:24:00,
225,4413,115,Ad Click,2023-07-24T09:28:00,facebook
226,2505,49,Email Open,2022-08-10T21:00:00,
227,4763,169,Email Open,2024-01-15T15:44:00,
228,4124,21,Form Fill,2024-09-20T08:30:00,linkedin
229,1484,122,Form Fill,2021-11-27T22:58:00,facebook
230,4221,97,Email Open,2020-02-02T23:25:00,
231,3872,167,Email Open,2020-11-27T01:58:00,
232,4368,153,Form Fill,2023-06-23T17:09:00,facebook
233,3939,42,,2023-11-03T11:51:00,
234,157,100,Unsubscribe,2024-11-09T16:38:00,
235,4159,,Email Open,2020-03-26T06:21:00,
236,6228,112,Form Fill,2024-02-05T15:34:00,twitter
237,4050,56,Webinar Attended,2023-07-25T02:11:00,
238,595,198,Email Open,2024-10-04T20:58:00,
239,1898,192,Email Open,2021-02-03T00:37:00,
240,1856,105,Email Bounce,2020-08-22T16:52:00,
241,5050,96,Email Open,2024-09-02T07:04:00,
242,2006,4,Form Fill,2024-07-02T15:37:00,direct
243,5453,43,Webinar Attended,2024-02-29T12:41:00,
244,6468,32,Content Download,2024-07-27T11:38:00,
245,4266,123,Form Fill,2022-12-01T16:33:00,google
246,5488,145,Page Visit,2030-03-15T14:30:00,linkedin
247,6754,161,Email Bounce,2020-06-03T09:02:00,
248,5500,70,Email Click,2020-10-15T00:31:00,
249,7910,129,Email Open,2023-10-21T08:01:00,
250,3931,181,Email Open,2021-03-25T16:51:00,
251,3458,79,Content Download,2022-02-24T16:47:00,
252,2593,33,Webinar Registration,2020-09-30T09:14:00,
253,1343,35,Email Open,2024-07-06T08:48:00,
254,4651,,Content Download,2024-05-15T16:44:00,
255,1098,78,Content Download,2023-04-13T06:54:00,
256,2639,30,Email Click,2023-10-12T11:02:00,
257,1364,,Email Click,2020-03-29T17:27:00,
258,819,164,Webinar Registration,2022-08-21T18:26:00,
259,5750,,Content Download,2023-12-25T05:21:00,
260,1586,112,Email Click,2023-12-24T09:16:00,
261,6757,71,Email Bounce,2024-02-27T16:30:00,
262,4812,174,Form Fill,2022-09-18T15:48:00,google
263,1313,192,Ad Click,2020-12-14T07:49:00,twitter
264,1329,35,Form Fill,2024-06-20T23:51:00,google
265,5577,35,Webinar Registration,2024-06-19T04:33:00,
266,4425,51,Page Visit,2021-09-11T04:22:00,direct
267,5250,128,Email Open,2024-05-24T19:54:00,
268,7461,45,Page Visit,2021-06-10T19:26:00,google
269,4619,86,Email Open,2023-09-18T06:50:00,
270,4170,,Ad Click,2024-05-15T15:23:00,twitter
271,5242,193,Page Visit,2022-09-01T23:51:00,referral
272,3303,53,Email Open,2021-05-01T14:46:00,
273,4214,54,,2023-01-04T03:51:00,
274,1410,29,Form Fill,2022-04-03T04:36:00,referral
275,3481,8,Email Open,2020-07-29T22:19:00,
276,3880,43,Form Fill,2024-03-16T07:15:00,facebook
277,6861,179,Webinar Attended,2020-06-03T04:02:00,
278,4297,150,Webinar Attended,2023-06-11T11:34:00,
279,7716,172,Webinar Registration,2022-01-08T15:27:00,
280,7120,49,Content Download,2022-08-13T05:35:00,
281,7131,156,Page Visit,2020-07-14T08:22:00,twitter
282,3512,116,Email Open,2021-08-04T05:21:00,
283,7433,67,Form Fill,2024-03-16T20:52:00,linkedin
284,6172,80,Email Open,2021-05-07T00:20:00,
285,6048,37,Email Open,2024-12-24T00:00:00,
286,5645,67,Ad Click,2024-04-07T05:11:00,referral
287,4006,42,Webinar Attended,2023-11-02T09:08:00,
288,1322,8,Email Open,2020-07-24T17:47:00,
289,670,123,,2022-09-05T19:08:00,
290,7032,165,Email Open,2022-05-30T21:19:00,
291,3911,,Webinar Attended,2024-10-26T20:10:00,
292,6648,7,Email Open,2021-03-15T05:45:00,
293,7421,135,Page Visit,2023-11-18T02:18:00,facebook
294,86,33,Email Bounce,2020-09-01T00:56:00,
295,1191,131,Ad Click,2020-12-01T15:51:00,
296,7271,189,Form Fill,2024-01-21T08:48:00,google
297,7924,85,Content Download,2023-07-18T06:40:00,
298,6503,78,Email Open,2023-04-16T01:24:00,
299,6917,195,Page Visit,2024-01-12T02:09:00,direct
300,5041,66,Webinar Attended,2024-10-25T02:15:00,
301,5507,105,,2030-03-15T14:30:00,
302,1172,122,Email Open,2021-12-06T22:04:00,
303,400,87,Webinar Attended,2024-06-30T04:49:00,
304,6476,59,Unsubscribe,2020-03-29T10:20:00,
305,7399,14,Email Open,2024-11-01T06:28:00,
306,4606,14,Ad Click,2024-09-29T01:28:00,facebook
307,1246,47,Email Click,2022-04-09T03:48:00,
308,5870,46,Form Fill,2023-05-19T22:58:00,
309,229,,Email Bounce,2022-01-02T07:18:00,
310,7068,10,Email Click,2021-01-26T10:01:00,
311,5517,89,Email Bounce,2020-04-16T14:39:00,
312,3000,66,Email Open,2024-11-26T04:26:00,
313,3124,133,Page Visit,2020-02-22T17:18:00,direct
314,4489,50,Webinar Registration,2023-05-08T04:01:00,
315,3422,25,Webinar Registration,2022-07-22T03:25:00,
316,3211,72,Email Open,2022-02-01T06:57:00,
317,3931,140,Email Click,2021-09-08T17:02:00,
318,2296,72,Form Fill,2022-01-28T19:55:00,
319,4425,20,Page Visit,2023-11-30T23:49:00,referral
320,3691,165,Email Open,2022-05-25T10:47:00,
321,1072,27,Email Open,2021-01-23T02:04:00,
322,2002,,Ad Click,2022-03-29T16:08:00,google
323,5448,109,,2020-05-24T14:53:00,direct
324,2933,34,Form Fill,2021-11-19T23:53:00,facebook
325,750,140,Form Fill,2021-10-29T16:48:00,direct
326,4866,50,Email Click,2023-05-21T06:27:00,
327,6614,148,Ad Click,2022-01-21T15:40:00,twitter
328,531,143,Email Bounce,2023-10-30T19:33:00,
329,1856,134,Email Click,2022-07-24T05:19:00,
330,5203,163,Webinar Registration,2022-01-06T00:50:00,
331,3077,69,Ad Click,2023-05-05T00:49:00,linkedin
332,843,97,Form Fill,2020-01-19T15:22:00,google
333,1673,120,Email Open,2022-12-20T07:31:00,
334,2097,200,Email Open,2022-09-26T23:32:00,
335,6167,172,Email Open,2021-12-14T06:38:00,
336,5814,76,Unsubscribe,2021-04-08T11:16:00,
337,1398,41,Ad Click,2021-03-09T07:08:00,twitter
338,5271,130,Webinar Registration,2022-08-26T01:11:00,
339,6181,139,Email Bounce,2022-07-30T00:48:00,
340,7076,78,Email Open,2023-04-15T06:22:00,
341,4190,108,Email Click,2023-03-18T13:43:00,
342,7460,113,Webinar Registration,2024-10-01T05:09:00,
343,5814,174,Content Download,2022-10-09T11:55:00,
344,1250,152,Email Open,2023-01-28T05:05:00,
345,1131,37,Ad Click,2024-11-20T02:14:00,google
346,5746,190,Content Download,2024-10-24T02:18:00,
347,5085,92,Email Open,2024-05-11T17:06:00,
348,778,6,Ad Click,2024-02-11T04:42:00,referral
349,4202,44,Email Open,2023-01-16T19:46:00,
350,5539,132,Form Fill,2023-08-10T03:34:00,
351,6194,200,Form Fill,2022-10-07T10:52:00,facebook
352,4074,55,Form Fill,2020-04-20T17:29:00,google
353,2688,20,Webinar Registration,2023-12-03T08:44:00,
354,3278,29,Page Visit,2022-04-04T16:36:00,referral
355,3364,146,Email Open,2022-09-12T22:18:00,
356,3269,138,Email Open,2021-08-24T02:13:00,
357,6612,168,Ad Click,2022-07-20T19:33:00,facebook
358,4533,27,Ad Click,2020-12-27T08:26:00,referral
359,7692,30,Webinar Attended,2023-09-27T20:08:00,
360,97,140,Email Open,2021-10-20T16:19:00,
361,5342,61,Page Visit,2024-07-03T15:03:00,direct
362,332,193,Content Download,2022-09-03T18:05:00,
363,688,146,Email Open,2022-09-14T06:34:00,
364,7200,187,,2020-08-28T16:55:00,
365,4996,118,Ad Click,2024-12-22T00:00:00,facebook
366,2970,127,Form Fill,2022-08-08T16:28:00,
367,2082,95,Content Download,2021-02-20T18:44:00,
368,6027,89,Email Click,2020-04-22T18:27:00,
369,7115,106,Content Download,2024-10-25T11:54:00,
370,2708,101,Ad Click,2023-08-03T08:42:00,google
371,5061,96,Webinar Attended,2024-09-05T10:48:00,
372,2545,162,Content Download,2020-10-03T03:14:00,
373,1389,117,Webinar Registration,2024-06-19T03:06:00,
374,1207,24,,2024-12-31T00:00:00,
375,6210,99,Webinar Registration,2020-03-12T22:37:00,
376,5961,86,Ad Click,2023-08-23T14:09:00,google
377,7736,22,Ad Click,2023-11-19T05:29:00,facebook
378,678,166,Email Bounce,2024-12-22T22:15:00,
379,3229,158,Page Visit,2024-06-26T03:00:00,direct
380,3971,,Webinar Attended,2024-11-22T05:13:00,
381,4911,166,Content Download,2024-12-12T06:46:00,
382,7981,192,Form Fill,2020-12-13T04:19:00,referral
383,7196,51,Ad Click,2021-08-27T18:02:00,twitter
384,5139,38,,2024-06-18T06:46:00,
385,638,163,Form Fill,2022-01-28T19:43:00,twitter
386,7394,169,Page Visit,2024-01-18T07:45:00,google
387,7457,85,Email Open,2023-08-10T04:34:00,
388,5922,113,Content Download,2024-11-07T19:29:00,
389,1416,101,Form Fill,2023-07-24T21:39:00,linkedin
390,3524,15,Email Bounce,2022-04-27T18:28:00,
391,1987,100,Email Click,2024-11-11T14:50:00,
392,2650,3,Page Visit,2024-05-05T01:57:00,
393,473,13,Unsubscribe,2024-06-26T18:32:00,
394,280,156,Email Open,2020-07-21T01:09:00,
395,7723,45,Webinar Registration,2021-06-23T14:57:00,
396,6142,75,Webinar Registration,2023-08-27T23:16:00,
397,7355,6,Page Visit,2024-04-13T07:01:00,linkedin
398,5367,129,Email Open,2023-09-21T06:22:00,
399,6187,95,Webinar Registration,2021-03-08T04:58:00,
400,6839,149,Page Visit,2023-07-24T08:03:00,direct
401,6386,4,Email Open,2024-07-10T10:58:00,
402,5343,186,Email Open,2024-12-15T06:46:00,
403,5600,103,Page Visit,2024-03-14T07:50:00,
404,6431,63,Content Download,2021-03-25T00:04:00,
405,2772,45,Webinar Registration,2021-06-21T17:23:00,
406,5338,43,Form Fill,2024-04-02T01:01:00,direct
407,747,32,Email Open,2024-07-27T01:48:00,
408,7640,145,Webinar Attended,2023-08-31T14:35:00,
409,4065,84,Page Visit,2024-06-04T18:15:00,direct
410,1161,116,Webinar Registration,2021-08-09T14:13:00,
411,7518,13,Content Download,2024-06-29T05:16:00,
412,2804,194,Email Open,2020-06-13T04:53:00,
413,209,121,Email Open,2021-06-09T20:57:00,
414,6085,83,Email Bounce,2023-04-11T00:12:00,
415,699,104,Email Open,2022-01-29T07:49:00,
416,1416,33,Ad Click,2020-11-10T15:15:00,referral
417,7914,97,Page Visit,2020-01-15T18:51:00,
418,7883,153,Email Click,2023-06-19T01:04:00,
419,4990,188,Webinar Registration,2022-03-08T11:38:00,
420,5200,108,Webinar Registration,2023-03-20T04:16:00,
421,5725,116,Content Download,2021-08-20T17:24:00,
422,1612,74,Unsubscribe,2021-04-13T15:18:00,
423,641,61,Webinar Attended,2024-07-21T14:19:00,
424,1533,,Content Download,2024-10-25T17:51:00,
425,1600,122,Ad Click,2021-11-03T23:40:00,referral
426,2592,139,Email Open,2022-07-03T04:34:00,
427,5868,62,Ad Click,2020-05-12T01:07:00,
428,7430,97,Email Open,2020-01-21T21:09:00,
429,6859,87,Content Download,2024-06-28T22:38:00,
430,2204,123,Webinar Attended,2022-10-09T11:18:00,
431,5396,43,Email Click,2024-04-10T02:31:00,
432,1525,151,Email Open,2021-08-26T20:34:00,
433,2210,,Page Visit,2023-05-11T22:35:00,linkedin
434,2730,84,Email Open,2024-06-17T01:17:00,
435,7016,160,Email Open,2021-03-01T04:59:00,
436,4604,185,Page Visit,2021-09-01T04:59:00,twitter
437,5763,29,Content Download,2022-03-31T15:25:00,
438,4856,87,Email Bounce,2024-06-24T11:26:00,
439,3301,69,Page Visit,2023-04-11T17:53:00,linkedin
440,1818,59,Email Bounce,2020-04-07T22:47:00,
441,6824,162,Form Fill,2020-10-29T23:57:00,google
442,6929,167,Form Fill,2020-12-01T09:31:00,twitter
443,136,2,Email Click,2022-02-16T09:49:00,
444,761,33,Email Open,2020-11-04T02:26:00,
445,669,67,Form Fill,2024-06-09T14:06:00,referral
446,6906,113,Content Download,2024-10-27T17:37:00,
447,3203,70,Email Open,2020-10-08T18:48:00,
448,2998,61,Content Download,2024-06-29T11:21:00,
449,3244,42,Form Fill,2023-10-16T01:19:00,facebook
450,5819,156,Email Open,2020-07-17T23:43:00,
451,7682,200,Ad Click,2022-10-22T10:54:00,referral
452,1945,,Form Fill,2022-08-03T02:39:00,direct
453,1151,102,Content Download,2024-06-01T15:15:00,
454,4923,7,Webinar Registration,2021-03-15T17:11:00,
455,609,198,Webinar Registration,2024-10-01T14:27:00,
456,6495,97,Email Open,2020-02-07T18:20:00,
457,3732,178,Email Click,2023-10-02T14:46:00,
458,2158,185,Page Visit,2021-09-10T20:05:00,linkedin
459,2421,110,Ad Click,2022-03-19T05:50:00,google
460,1966,68,Email Open,2024-09-09T13:42:00,
461,5003,90,Form Fill,2024-03-17T16:58:00,linkedin
462,662,42,Email Open,2023-10-27T18:54:00,
463,5553,98,Webinar Registration,2020-11-10T10:33:00,
464,7327,32,Email Open,2024-07-21T05:45:00,
465,6721,168,Page Visit,2022-04-28T21:27:00,twitter
466,4596,117,Form Fill,2024-06-22T17:48:00,referral
467,4156,,Webinar Registration,2023-12-05T22:33:00,
468,6843,158,Page Visit,2024-08-08T07:13:00,linkedin
469,6491,23,Email Click,2021-06-08T04:54:00,
470,6154,101,Webinar Registration,2023-07-24T20:00:00,
471,6521,64,Page Visit,2022-02-26T18:37:00,facebook
472,6032,147,Content Download,2021-11-11T10:40:00,
473,5970,141,Email Click,2022-11-08T06:40:00,
474,7215,62,Email Open,2020-05-09T22:11:00,
475,7280,68,Email Click,2024-08-25T00:13:00,
476,6120,152,Page Visit,2023-02-07T13:44:00,google
477,4125,34,Email Open,2021-08-17T14:20:00,
478,1274,93,Unsubscribe,2024-11-16T13:57:00,
479,7995,82,Email Open,2020-09-01T23:23:00,
480,6952,58,Webinar Registration,2023-05-30T13:48:00,
481,3969,171,Form Fill,2020-03-27T17:10:00,linkedin
482,2270,44,Form Fill,2023-01-25T17:12:00,twitter
483,6925,78,Content Download,2023-04-14T13:07:00,
484,7340,111,Page Visit,2022-11-06T10:13:00,
485,4356,163,Content Download,2022-03-10T22:43:00,
486,6343,111,Page Visit,2022-11-18T07:46:00,facebook
487,3689,42,Webinar Attended,2023-12-16T03:48:00,
488,6982,55,Form Fill,2020-05-27T01:48:00,google
489,3854,58,Content Download,2023-06-09T12:14:00,
490,4680,83,Content Download,2023-04-27T07:30:00,
491,2442,70,Form Fill,2020-10-04T04:59:00,
492,5084,140,Ad Click,2021-09-23T05:10:00,twitter
493,2665,115,Email Open,2023-07-21T20:35:00,
494,610,18,,2024-07-10T03:25:00,twitter
495,6073,28,Page Visit,2024-12-15T00:00:00,referral
496,53,116,Email Open,2021-08-28T20:03:00,
497,253,77,Email Bounce,2020-04-02T13:46:00,
498,419,158,Email Open,2024-07-21T18:28:00,
499,5842,189,Content Download,2024-02-29T04:21:00,
500,2978,161,Webinar Registration,2020-05-30T20:14:00,
501,968,127,Content Download,2022-07-26T03:14:00,
502,380,108,Content Download,2023-03-11T05:01:00,
503,7279,188,Form Fill,2022-02-27T12:35:00,linkedin
504,5871,86,Email Open,2023-09-11T01:38:00,
505,5277,66,Email Open,2024-12-17T06:47:00,
506,7883,158,Form Fill,2024-07-24T01:26:00,facebook
507,2511,22,Webinar Attended,2023-10-31T06:16:00,
508,2118,158,Form Fill,2024-06-03T11:14:00,direct
509,2057,129,Email Click,2023-09-21T03:01:00,
